set,heap,type
experiment,47496680,after
experiment,4356312,before
experiment,3817520,after
experiment,5020776,before
experiment,4716368,after
experiment,6768408,before
experiment,6351288,after
experiment,10602096,before
experiment,9689992,after
experiment,12257616,before
experiment,11596888,after
experiment,12020664,before
experiment,12020664,after
experiment,12020664,before
experiment,12020664,after
experiment,12020664,before
experiment,12020664,after
experiment,12020664,before
experiment,12020664,after
experiment,14342424,before
experiment,13277248,after
experiment,19113880,before
experiment,19113880,after
experiment,27199056,before
experiment,24249832,after
experiment,28059768,before
experiment,26287752,after
experiment,28899224,before
experiment,27546800,after
experiment,34981120,before
experiment,30209576,after
experiment,36609168,before
experiment,31166696,after
experiment,32354792,before
experiment,32354792,after
experiment,32514544,before
experiment,32514544,after
experiment,32583808,before
experiment,27667920,after
experiment,46391976,before
experiment,33216632,after
experiment,36746912,before
experiment,36746912,after
experiment,4356312,before
experiment,3817520,after
experiment,5020864,before
experiment,4716456,after
experiment,6768464,before
experiment,6351352,after
experiment,10601848,before
experiment,9689728,after
experiment,12245120,before
experiment,11585424,after
experiment,12025568,before
experiment,12025568,after
experiment,12025568,before
experiment,12025568,after
experiment,12025568,before
experiment,12025568,after
experiment,12025568,before
experiment,12025568,after
experiment,14329744,before
experiment,13265776,after
experiment,19115104,before
experiment,19115104,after
experiment,27189632,before
experiment,24233200,after
experiment,28055864,before
experiment,26281128,after
experiment,28887136,before
experiment,27537152,after
experiment,34968560,before
experiment,30201280,after
experiment,36591824,before
experiment,31155368,after
experiment,32733968,before
experiment,32733968,after
experiment,32975736,before
experiment,32975736,after
experiment,32983816,before
experiment,32983816,after
experiment,33049480,before
experiment,27776272,after
experiment,46494264,before
experiment,33391464,after
experiment,36383144,before
experiment,36383144,after
experiment,4356312,before
experiment,3817520,after
experiment,5020896,before
experiment,4716488,after
experiment,6768512,before
experiment,6351400,after
experiment,10602440,before
experiment,9690336,after
experiment,12249064,before
experiment,11589640,after
experiment,12067424,before
experiment,12067424,after
experiment,12067424,before
experiment,12067424,after
experiment,12067424,before
experiment,12067424,after
experiment,12067424,before
experiment,12067424,after
experiment,14359120,before
experiment,13293920,after
experiment,19142720,before
experiment,19142720,after
experiment,27224752,before
experiment,24276584,after
experiment,28028384,before
experiment,26269336,after
experiment,28870488,before
experiment,27523120,after
experiment,34957736,before
experiment,30177448,after
experiment,34524200,before
experiment,34524200,after
experiment,34646168,before
experiment,34646168,after
experiment,34711776,before
experiment,26891256,after
experiment,35272368,before
experiment,28801856,after
experiment,45660576,before
experiment,45660576,after
experiment,45660576,before
experiment,45660576,after
experiment,4356312,before
experiment,3817520,after
experiment,5020864,before
experiment,4716456,after
experiment,6768480,before
experiment,6351368,after
experiment,10602264,before
experiment,9690320,after
experiment,12245504,before
experiment,11585784,after
experiment,12026024,before
experiment,12026024,after
experiment,12026024,before
experiment,12026024,after
experiment,12026024,before
experiment,12026024,after
experiment,12026024,before
experiment,12026024,after
experiment,14330344,before
experiment,13266400,after
experiment,19105304,before
experiment,19105304,after
experiment,27200400,before
experiment,24262424,after
experiment,28004912,before
experiment,26242192,after
experiment,28854832,before
experiment,27499168,after
experiment,34934608,before
experiment,30155872,after
experiment,36555304,before
experiment,31106688,after
experiment,33024048,before
experiment,33024048,after
experiment,33191248,before
experiment,33191248,after
experiment,33264968,before
experiment,27816104,after
experiment,46600952,before
experiment,33498400,after
experiment,36240688,before
experiment,36240688,after
experiment,4356312,before
experiment,3817520,after
experiment,5020896,before
experiment,4716488,after
experiment,6768512,before
experiment,6351400,after
experiment,10602200,before
experiment,9690048,after
experiment,12244824,before
experiment,11585416,after
experiment,12028520,before
experiment,12028520,after
experiment,12028520,before
experiment,12028520,after
experiment,12028520,before
experiment,12028520,after
experiment,12028520,before
experiment,12028520,after
experiment,14330016,before
experiment,13265664,after
experiment,19139320,before
experiment,19139320,after
experiment,27213752,before
experiment,24258080,after
experiment,28037176,before
experiment,26275032,after
experiment,28869168,before
experiment,27524728,after
experiment,34957304,before
experiment,30177024,after
experiment,36572640,before
experiment,31131376,after
experiment,33126176,before
experiment,33126176,after
experiment,33334968,before
experiment,33334968,after
experiment,33400320,before
experiment,33400320,after
experiment,33465896,before
experiment,27892304,after
experiment,46488592,before
experiment,33396680,after
experiment,36036224,before
experiment,36036224,after
experiment,4356312,before
experiment,3817520,after
experiment,5020776,before
experiment,4716368,after
experiment,6768424,before
experiment,6351312,after
experiment,10602168,before
experiment,9690064,after
experiment,12244672,before
experiment,11585280,after
experiment,12028416,before
experiment,12028416,after
experiment,12028416,before
experiment,12028416,after
experiment,12028416,before
experiment,12028416,after
experiment,12028416,before
experiment,12028416,after
experiment,14329896,before
experiment,13265536,after
experiment,19093016,before
experiment,19093016,after
experiment,27190344,before
experiment,24255136,after
experiment,27916400,before
experiment,26154032,after
experiment,28769288,before
experiment,27411176,after
experiment,34846952,before
experiment,30065808,after
experiment,36432112,before
experiment,30983328,after
experiment,34194552,before
experiment,34194552,after
experiment,34355512,before
experiment,34355512,after
experiment,34421160,before
experiment,28078672,after
experiment,46694136,before
experiment,33782592,after
experiment,35392464,before
experiment,35392464,after
experiment,4356312,before
experiment,3817520,after
experiment,5020864,before
experiment,4716456,after
experiment,6768480,before
experiment,6351368,after
experiment,10602360,before
experiment,9690192,after
experiment,12245688,before
experiment,11585976,after
experiment,12026088,before
experiment,12026088,after
experiment,12026088,before
experiment,12026088,after
experiment,12026088,before
experiment,12026088,after
experiment,12026088,before
experiment,12026088,after
experiment,14330224,before
experiment,13266400,after
experiment,19104776,before
experiment,19104776,after
experiment,27197064,before
experiment,24259416,after
experiment,28058192,before
experiment,26283488,after
experiment,28908760,before
experiment,27549840,after
experiment,34973632,before
experiment,30208360,after
experiment,36597072,before
experiment,31152808,after
experiment,32122968,before
experiment,32122968,after
experiment,32380648,before
experiment,32380648,after
experiment,32450104,before
experiment,32450104,after
experiment,32518232,before
experiment,27659600,after
experiment,46383448,before
experiment,33161328,after
experiment,36779128,before
experiment,36779128,after
experiment,4356312,before
experiment,3817520,after
experiment,5020776,before
experiment,4716368,after
experiment,6768424,before
experiment,6351312,after
experiment,10602184,before
experiment,9690080,after
experiment,12245504,before
experiment,11585776,after
experiment,12026016,before
experiment,12026016,after
experiment,12026016,before
experiment,12026016,after
experiment,12026016,before
experiment,12026016,after
experiment,12026016,before
experiment,12026016,after
experiment,14336392,before
experiment,13272240,after
experiment,19191272,before
experiment,19191272,after
experiment,27265304,before
experiment,24308936,after
experiment,28139944,before
experiment,26371320,after
experiment,28971224,before
experiment,27624328,after
experiment,35063408,before
experiment,30288152,after
experiment,36683176,before
experiment,31242480,after
experiment,32550976,before
experiment,32550976,after
experiment,32783088,before
experiment,32783088,after
experiment,32809120,before
experiment,27830384,after
experiment,46602504,before
experiment,33432280,after
experiment,36730744,before
experiment,36730744,after
experiment,4356312,before
experiment,3817520,after
experiment,5020832,before
experiment,4716424,after
experiment,6768584,before
experiment,6351464,after
experiment,10602272,before
experiment,9690296,after
experiment,12245248,before
experiment,11585808,after
experiment,12026368,before
experiment,12026368,after
experiment,12026368,before
experiment,12026368,after
experiment,12026368,before
experiment,12026368,after
experiment,12026368,before
experiment,12026368,after
experiment,14330488,before
experiment,13266384,after
experiment,19123184,before
experiment,19123184,after
experiment,27213112,before
experiment,24269592,after
experiment,28073240,before
experiment,26297968,after
experiment,28917856,before
experiment,27561320,after
experiment,34984416,before
experiment,30216752,after
experiment,36607888,before
experiment,31165704,after
experiment,33491960,before
experiment,33491960,after
experiment,33753616,before
experiment,33753616,after
experiment,33831912,before
experiment,33831912,after
experiment,33897472,before
experiment,28089800,after
experiment,46816728,before
experiment,33795848,after
experiment,35938520,before
experiment,35938520,after
experiment,4356312,before
experiment,3817520,after
experiment,5020896,before
experiment,4716488,after
experiment,6768512,before
experiment,6351400,after
experiment,10602368,before
experiment,9690240,after
experiment,12245752,before
experiment,11586056,after
experiment,12026232,before
experiment,12026232,after
experiment,12026232,before
experiment,12026232,after
experiment,12026232,before
experiment,12026232,after
experiment,12026232,before
experiment,12026232,after
experiment,14336680,before
experiment,13272544,after
experiment,19121320,before
experiment,19121320,after
experiment,27216112,before
experiment,24278080,after
experiment,28022576,before
experiment,26261224,after
experiment,28872264,before
experiment,27516744,after
experiment,34951712,before
